PLXND1	Temporal	1
PNCK	Temporal	1
BHLHB2	Temporal	1
IGFBP4	Temporal	1
NTNG1	Temporal	1
PLSCR3	Temporal	1
MAN2A2	Temporal	1
PENK	Temporal	1
EPHA3	Temporal	1
WSCD1	Temporal	1
TENM4	Temporal	1
AUTS2	Temporal	1
SNIP1	Temporal	1
PCDH8	Temporal	1
CADM1	Temporal	1
LIX1	Temporal	1
NR4A2	Temporal	1
EOMES	Temporal	1
PAX6	Temporal	1
ZNF35	Temporal	1
CUX1	Temporal	1
FGFR2	Temporal	1
EPHA5	Temporal	1
DKK3	Temporal	1
PLXNA4	Temporal	1
EPHA7	Temporal	1
SLC5A3	Temporal	1
CSDA	Frontal	1
NEUROG2	Frontal	1
CSRP1	Frontal	1
CXXC4	Frontal	1
CPNE8	Frontal	3
RCAN1	Frontal	1
ZNF114	Frontal	1
ADCY2	Frontal	1
ELMOD1	Frontal	1
C16orf61	Frontal	1
STK32B	Frontal	1
PLK3	Frontal	1
FHL2	Frontal	1
CLDN1	Frontal	1
LMO3	Frontal	2
ABHD6	Frontal	1
COQ10A	Frontal	1
LOC643923	Frontal	1
HSPA12A	Frontal	1
CBLN2	Frontal	2
PRSS23	Frontal	1
CTNNBL1	Frontal	3
LOC439949	Frontal	1
S100A16	Frontal	1
RP5-1022P6.6	Frontal	1
INTS12	Frontal	1
RPRM	Frontal	1
MEIS3P1	Frontal	1
LRRTM2	Frontal	1
RLBP1	Frontal	1
TMEM62	Frontal	1
SYNM	Frontal	1
CNKSR3	Frontal	1
GRIN2C	Frontal	1
FLJ45278	Frontal	1
C20orf103	Frontal	1
ZIC3	Frontal	1
CSRP2	Frontal	1
DNAH10	Frontal	1
PLEKHG1	Frontal	1
LOC150568	Frontal	1
ANO4	Frontal	1
AKR1C3	Frontal	1
FZD9	Frontal	1
PXMP2	Frontal	1
SPHK1	Frontal	1
PTPLA	Frontal	1
AKR1C1	Frontal	1
H2AFY2	Frontal	1
MXRA7	Frontal	1
S100A13	Frontal	1
LDB2	Frontal	1
NEDD9	Frontal	1
GPR143	Frontal	1
ABCA1	Frontal	1
IL11RA	Frontal	1
TNIK	Frontal	1
UST	Frontal	1
NDP	Frontal	1
VSTM2L	Frontal	2
PROM1	Frontal	1
POU3F2	Frontal	1
MEIS2	Frontal	1
CPPED1	Frontal	1
KCNJ6	Frontal	1
PPP1R14C	Frontal	1
PLCH1	Frontal	1
ADAMTS14	Frontal	1
COCH	Frontal	1
MAN1C1	Frontal	1
PART1	Frontal	1
KCNA1	Frontal	1
PMP22	Frontal	1
C2orf40	Frontal	1
TOX	Frontal	1
TBC1D1	Frontal	1
STXBP6	Frontal	2
ASAM	Frontal	1
GSTO1	Frontal	1
DENND2C	Frontal	1
HCRTR2	Frontal	1
PTX3	Frontal	2
LOC100290428	Frontal	1
AAGAB	Frontal	1
LMO4	Frontal	3
DCI	Frontal	1
TSPAN5	Frontal	1
FKBP9	Frontal	1
TSEN15	Frontal	1
NTN4	Frontal	1
KCNC2	Frontal	1
SLN	Frontal	2
SMS	Frontal	1
CDK2AP1	Frontal	1
MMP11	Frontal	1
CNTN6	Frontal	1
RBKS	Frontal	1
LOC100128822	Frontal	1
KCNQ5	Frontal	1
GNG4	Frontal	1
TG	Frontal	1
NEUROD1	Frontal	1
LRRTM1	Frontal	1
MIPEP	Frontal	1
NMNAT3	Frontal	1
ASTN2	Frontal	1
ALDH9A1	Frontal	1
MAP3K5	Frontal	1
GREB1	Frontal	2
FAM184A	Frontal	1
LOC100288954	Frontal	1
CDCP1	Frontal	2
ETV1	Frontal	2
ANKRD32	Frontal	2
WBSCR17	Frontal	2
CDH6	Frontal	2
DPF3	Frontal	1
IL7	Frontal	1
COL5A2	Frontal	1
ABHD4	Frontal	1
FKBP9	Frontal	1
ABCA1	Frontal	1
ZADH2	Frontal	1
PCCA	Frontal	1
RXRG	Frontal	1
IKZF2	Frontal	1
POPDC3	Frontal	1
DNALI1	Frontal	1
DSCR1L1	Frontal	1
MAP3K5	Frontal	1
SLC5A8	Frontal	1
BTN2A3	Frontal	1
AKR1B1	Frontal	1
C20orf102	Frontal	1
C1orf19	Frontal	1
ZIC3	Frontal	1
MARCH3	Frontal	1
RBP1	Frontal	1
NTN4	Frontal	1
STXBP4	Frontal	1
FAM106A	Frontal	1
PALMD	Frontal	1
TGA9	Frontal	1
TF	Frontal	1
SULF1	Frontal	1
LOC162632	Frontal	1
USP6	Frontal	1
Frontal	1
SYTL5	Frontal	1
MBP	Frontal	1
RGS22	Frontal	1
PRKG1	Frontal	1
SCNN1G	Frontal	1
RXFP1	Frontal	1
SLC17A8	Frontal	1
CFDP1	Frontal	1
PPFIBP2	Frontal	1
ZBTB20	Frontal	1
YES1	Frontal	1
SPAG9	Frontal	1
CDCA7L	Frontal	1
MBOAT1	Frontal	1
NOX4	Frontal	1
C1orf62	Frontal	1
MEIS2	Frontal	1
CLMP	Frontal	1
DIAPH3	Frontal	1
TBR1	Frontal	1
MB21D2	Frontal	1
TENM1	Frontal	1
RORB	Frontal	1
FLRT3	Frontal	1
CNTN4	Frontal	1
MMADHC	Frontal	1
TRMT61B	Frontal	1
LRRC59	Frontal	1
FAHD1	Frontal	1
CDH8	Frontal	1
SATB2	Frontal	2
FABP7	Frontal	1
GRIK2	Frontal	1
